Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
L9Ms14_contigs.noplasmid.myzus	5	1	1	1	1	1	644411	642182	642182	642182	642182	642182	4	642182	644050	642011	26.32	26.29	642182	642182	642182	642182	1	1	1	1	0	0	0	2	0	0	0	3 + 0 part	1868	99.965	1.001	0.00	223.75	14.49	641882	641882	641882	641882	641882	641882	1	1	1	1
Lc_contigs.noplasmid.myzus	5	4	2	2	2	2	646932	646355	642356	642356	642356	642356	5	479867	646932	642011	26.47	26.29	479867	479867	162489	162489	1	1	2	2	0	0	0	1	0	0	1	1 + 1 part	3737	100.000	1.002	0.00	200.15	14.80	479847	642638	479847	479847	162175	162175	1	1	2	2
Lus_contigs.noplasmid.myzus	12	7	2	2	2	2	655291	652740	642165	642165	642165	642165	11	468276	655084	642011	26.79	26.29	468276	468276	173889	173889	1	1	2	2	0	0	0	2	0	0	1	3 + 3 part	10854	99.965	1.004	0.00	212.22	14.18	467977	642799	467977	467977	173889	173889	1	1	2	2
Mel_contigs.noplasmid.myzus	11	6	1	1	1	1	654423	650892	642433	642433	642433	642433	9	642433	653484	642011	26.72	26.29	642433	642433	642433	642433	1	1	1	1	0	0	0	1	0	0	1	2 + 4 part	8615	100.000	1.004	0.00	11.68	0.93	642134	643420	642134	642134	642134	642134	1	1	1	1
MI_contigs.noplasmid.myzus	16	8	1	1	1	1	661226	655683	642174	642174	642174	642174	16	642174	661226	642011	26.99	26.29	642174	642174	642174	642174	1	1	1	1	0	0	0	2	0	0	1	6 + 7 part	16940	99.965	1.004	0.00	221.10	14.33	641865	643035	641865	641865	641865	641865	1	1	1	1
Mil_contigs.noplasmid.myzus	22	14	10	8	8	4	659362	655023	645066	634057	634057	487294	21	156263	659155	642011	27.02	26.29	109602	109602	47379	94843	3	3	5	4	0	0	0	1	0	0	2	3 + 5 part	16731	99.533	1.005	0.00	182.00	12.83	156263	640665	109602	109602	47095	94828	3	3	5	4
Os_contigs.noplasmid.myzus	11	7	3	3	3	3	651808	649415	641800	641800	641800	641800	10	323313	651477	642011	26.67	26.29	234090	323313	234090	234090	2	1	2	2	0	0	0	1	0	0	0	3 + 3 part	8647	99.906	1.002	0.00	100.56	8.11	323029	641814	234075	323029	234075	234075	2	1	2	2
Ov_contigs.noplasmid.myzus	21	6	3	3	3	3	660325	651305	642442	642442	642442	642442	18	409554	659249	642011	26.88	26.29	409554	409554	150645	150645	1	1	2	2	0	0	0	1	0	0	1	10 + 4 part	15593	99.933	1.003	0.00	216.81	14.34	409255	642290	409255	409255	150645	150645	1	1	2	2
Pea_contigs.noplasmid.myzus	14	11	9	8	5	3	655764	654430	647832	642206	581039	507899	12	234159	655140	642011	26.74	26.29	186595	186595	87145	87145	2	2	3	3	0	0	0	1	0	0	0	2 + 1 part	12028	99.903	1.003	0.00	323.21	15.28	234159	642456	186595	186595	87130	87130	2	2	3	3
R21Cs02_contigs.noplasmid.myzus	1	1	1	1	1	1	642247	642247	642247	642247	642247	642247	1	642247	642247	642011	26.28	26.29	642247	642247	642247	642247	1	1	1	1	0	0	0	2	0	0	0	0 + 0 part	0	99.965	1.001	0.00	216.89	14.18	641868	641868	641868	641868	641868	641868	1	1	1	1
Sl_contigs.noplasmid.myzus	38	27	19	17	11	4	660917	656085	641338	627665	544448	294852	30	85824	657830	642011	26.82	26.29	47464	47464	27301	27316	5	5	10	9	0	0	0	2	0	0	1	3 + 4 part	12122	99.908	1.007	0.00	189.89	11.23	85824	643870	47180	47180	27301	27316	5	5	10	9
Sv_contigs.noplasmid.myzus	6	6	4	4	4	2	646543	646543	642300	642300	642300	575674	6	491030	646543	642011	26.45	26.29	491030	491030	491030	491030	1	1	1	1	0	0	0	1	0	0	1	1 + 1 part	4080	99.998	1.001	0.00	142.37	13.40	490731	642148	490731	490731	490731	490731	1	1	1	1
Vc_contigs.noplasmid.myzus	22	10	7	6	5	5	658410	653636	646837	641769	617112	617112	11	225339	654346	642011	26.78	26.29	178113	178113	90096	90096	2	2	3	3	0	0	0	1	0	0	1	1 + 3 part	11523	99.894	1.002	0.00	219.23	15.12	225339	642168	178098	178098	90096	90096	2	2	3	3
Vl_contigs.noplasmid.myzus	11	6	3	3	3	3	651519	648183	641956	641956	641956	641956	9	306140	650590	642011	26.63	26.29	186561	186561	186561	186561	2	2	2	2	0	0	0	1	0	0	1	2 + 2 part	6889	99.935	1.003	0.00	218.67	13.56	306125	642479	186561	186561	186561	186561	2	2	2	2
